name,description,institute,latitude,longitude
1,Vestmannaeyjar,ISL,63.45,-20.266666666666662
13,Grindarvík,ISL,63.83333333333333,-22.41666666666666
17,Sandgerði,ISL,64.05,-22.733333333333327
27,Hafnarfjörður,ISL,64.06666666666666,-21.96666666666666
33,Reykjavík,ISL,64.15,-21.933333333333326
35,Akranes,ISL,64.31666666666666,-22.1
73,Ísafjörður,ISL,66.06666666666666,-23.11666666666666
89,Sauðárkrókur,ISL,65.75,-19.650000000000002
107,Akureyri,ISL,65.65,-18.08333333333333
115,Húsavík,ISL,66.05,-17.36666666666666
131,Seyðisfjörður,ISL,65.26666666666667,-14
135,Neskaupstaður,ISL,65.15,-13.700000000000001
149,Hornafjörður,ISL,64.23333333333333,-15.200000000000001
